frame,wall_time,game_time,progress,path_tile_index,speed,side_speed,steer,gas,brake,gear,rpm,wetness,segment_heading_error,next_segment_heading_error,fl_material_id,fl_material_name,fl_contact,fl_slip,fl_icing,fl_dirt,fr_material_id,fr_material_name,fr_contact,fr_slip,fr_icing,fr_dirt,rl_material_id,rl_material_name,rl_contact,rl_slip,rl_icing,rl_dirt,rr_material_id,rr_material_name,rr_contact,rr_slip,rr_icing,rr_dirt
63,1777369188.595338,40.150002,0.000000,0,-4.954000,0.000000,0.000000,0.000000,0.000000,0.000000,1838.934692,0.000000,0.034594,0.034594,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
64,1777369188.604343,40.150002,0.000000,0,-5.134000,0.000000,0.000000,0.000000,0.000000,0.000000,1907.934692,0.000000,0.034624,0.034624,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
65,1777369188.614339,40.160000,0.000000,0,-5.340100,0.000000,0.000000,0.000000,0.000000,0.000000,1988.434814,0.000000,0.034658,0.034658,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
66,1777369188.624337,40.169998,0.000000,0,-5.705400,0.000000,0.000000,0.000000,0.000000,0.000000,2137.934814,0.000000,0.034716,0.034716,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
67,1777369188.634335,40.180000,0.000000,0,-5.893600,0.000000,0.000000,0.000000,0.000000,0.000000,2218.434814,0.000000,0.034745,0.034745,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
68,1777369188.643336,40.189999,0.000000,0,-6.227600,0.000000,0.000000,0.000000,0.000000,0.000000,2367.934814,0.000000,0.034796,0.034796,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
69,1777369188.653339,40.200001,0.000000,0,-6.400300,0.000000,0.000000,0.000000,0.000000,0.000000,2448.434814,0.000000,0.034822,0.034822,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
70,1777369188.662342,40.209999,0.000000,0,-6.707001,0.000000,0.000000,0.000000,0.000000,0.000000,2597.934814,0.000000,0.034865,0.034865,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
71,1777369188.671333,40.220001,0.000000,0,-6.865601,0.000000,0.000000,0.000000,0.000000,0.000000,2678.434814,0.000000,0.034887,0.034887,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
72,1777369188.681338,40.230000,0.000000,0,-7.021000,0.000000,0.000000,0.000000,0.000000,0.000000,2758.934814,0.000000,0.034909,0.034909,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
73,1777369188.690347,40.240002,0.000000,0,-7.300200,0.000000,0.000000,0.000000,0.000000,0.000000,2908.434814,0.000000,0.034945,0.034945,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
74,1777369188.699345,40.240002,0.000000,0,-7.428600,0.000000,0.000000,0.000000,0.000000,0.000000,2977.434814,0.000000,0.034960,0.034960,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
